"","genotype","pref","pixels"
"1","ppk00582",-0.916190476190476,1050
"2","ppk00582",-0.918367346938776,1274
"3","ppk00582",-0.387815750371471,673
"4","ppk00582",-0.718346253229974,774
"5","ppk00582",0.450819672131148,244
"6","ppk00582",-0.801255230125523,956
"7","ppk00582",-0.806598407281001,879
"8","ppk00582",-0.640699523052464,1258
"9","ppk00582",-0.892733564013841,1156
"10","ppk00582",0.811320754716981,53
"11","ppk00582",-0.99687743950039,1281
"12","ppk00582",-0.674822415153907,1267
"13","ppk00582",-0.259191176470588,1088
"14","ppk00582",-0.642937853107345,885
"15","ppk00582",-0.110065851364064,1063
"16","ppk00582",-0.12591389114541,1231
"17","ppk00582",-0.75,32
"18","ppk00582",-0.25,8
"19","ppk00582",-0.355311355311355,273
"20","ppk00582",-0.257142857142857,175
"21","ppk00582",-0.981781376518219,988
"22","ppk00582",-0.990990990990991,1110
"23","ppk00582",0.571428571428571,14
"24","ppk00582",0.882352941176471,85
"25","ppk00582",-0.94199535962877,862
"26","ppk00582",0.57379767827529,1206
"27","ppk00582",0.0768115942028986,1380
"28","ppk00582",-0.621621621621622,37
"29","ppk00582",0.614984391259105,961
"30","ppk00582",-0.766423357664234,274
"31","ppk00582",-0.839009287925697,646
"32","ppk00582",-0.648221343873518,1012
"33","ppk00582",-0.100634632819583,1103
"34","ppk00582",-0.947368421052632,912
"35","ppk00582",0.763888888888889,144
"36","ppk00582",0.374599786552828,937
"37","ppk00582",0.775193798449612,774
"38","ppk00582",-0.701244813278008,964
"39","ppk00582",0.114777618364419,1394
"40","ppk00582",-0.879279279279279,1110
"41","ppk00582",-0.677536231884058,1104
"42","ppk00582",-0.279693486590038,261
"43","ppk00582",0.741317365269461,835
"44","ppk00582",0.851116625310174,806
"45","ppk00582",-0.994164843180161,1371
"46","ppk00582",-0.927492447129909,331
"47","ppk00582",-0.518833535844471,823
"48","ppk00582",-0.769322235434007,841
"49","ppk00582",-0.291428571428571,175
"50","ppk00582",0.603813559322034,944
"51","ppk00582",-0.113122171945701,663
"52","ppk00582",0.64576802507837,638
"53","ppk00582",-0.835101253616201,2074
"54","ppk00582",0.611208406304729,571
"55","ppk00582",0.715151515151515,330
"56","ppk00582",0.213055303717135,1103
"57","wtrw",-0.757281553398058,1442
"58","wtrw",-0.972602739726027,1241
"59","wtrw",0.559870550161812,309
"60","wtrw",-0.770428015564202,514
"61","wtrw",-0.984351713859911,2684
"62","wtrw",0.818181818181818,33
"63","wtrw",-0.739583333333333,192
"64","wtrw",-0.959564541213064,643
"65","wtrw",-0.896640826873385,774
"66","wtrw",-0.479198767334361,649
"67","wtrw",-0.951219512195122,41
"68","wtrw",-0.989203778677463,741
"69","wtrw",-0.133004926108374,203
"70","wtrw",-0.978246091094494,1471
"71","wtrw",-0.895757575757576,825
"72","wtrw",-0.935622317596567,932
"73","wtrw",-0.747191011235955,1068
"74","wtrw",-0.491525423728814,118
"75","wtrw",0,10
"76","wtrw",0.641509433962264,106
"77","wtrw",-0.986062717770035,287
"78","wtrw",-0.917026793431288,1157
"79","wtrw",0.98780487804878,656
"80","wtrw",0.0483271375464684,269
"81","wtrw",-0.887640449438202,801
"82","wtrw",0.816326530612245,98
"83","wtrw",-0.775510204081633,1078
"84","wtrw",-0.996101364522417,1539
"85","wtrw",-0.857142857142857,504
"86","wtrw",-0.857142857142857,42
"87","wtrw",0,6
"88","wtrw",-0.890295358649789,237
"89","wtrw",0.823529411764706,34
"90","wtrw",-0.963864886095837,1273
"91","wtrw",-1,212
"92","wtrw",-0.568345323741007,139
"93","wtrw",-0.959412176347096,1429
"94","wtrw",-0.716608594657375,861
"95","wtrw",-0.982222222222222,675
"96","wtrw",0.826247689463956,1082
"97","wtrw",-0.571428571428571,1050
"98","wtrw",-0.277777777777778,36
"99","wtrw",0.992254066615027,1291
"100","wtrw",0.768581081081081,1184
"101","wtrw",-0.230434782608696,920
"102","wtrw",-0.240793201133144,706
"103","wtrw",0.991561181434599,711
"104","wtrw",-0.84936268829664,863
"105","wtrw",0.948275862068966,580
"106","wtrw",0.594890510948905,548
"107","wtrw",0.493670886075949,79
"108","wtrw",-0.944230769230769,1040
"109","wtrw",-0.997447351627313,1567
"110","wtrw",0.745762711864407,118
"111","wtrw",-0.367924528301887,212
"112","wtrw",-0.609098567818029,1187
"113","wtrw",0.212121212121212,33
